ECON 255 Econometrics,economics;applied math;statistics;math graduate school; quantitative trading;banking;finance;private equity;business; ESSENTIAL;consulting;political economy;big data;financial markets,TR 11:20-12:35; - ; -,"MATH 130, plus STAT 161, 201 or 202 (or equivalent), plus one course in ECON. STAT 101 will also serve as a prerequisite, but only if taken prior to the fall of 2018.",,,,,,,,,,,,,,,,,,,,
ECON 257 The Economics of Race,economics;macroeconomics;race;racial equality;social justice;politics;political economy;graduate school;political science graduate school;,TF 13:10-14:25; - ; -,ECON 110,,,,,,,,,,,,,,,,,,,,
ECON 352 Financial Development&Regultn,economics;corporate finance;finance;financial markets;,MW 11:00-12:15; - ; -,"for undergraduates, POEC 253 or ECON 255; undergraduate enrollment limited and requires instructor's permission",,,,,,,,,,,,,,,,,,,,
ECON 357 Economics of Higher Education,,TBA - ; - ; -,ECON 251 and 255 or STAT 346 or permission of instructor,,,,,,,,,,,,,,,,,,,,
ECON 359 Developing Country Macro II,global development;economics;macroeconomics;global economics;developmental economics;political economy;finance;research;graduate school; ,MWF 08:30-09:45; - ; -,ECON 505 or 506; undergraduate enrollment limited and requires instructor's permission,,,,,,,,,,,,,,,,,,,,
ECON 360 Monetary Economics,economics;macroeconomics;,MWF 08:30-09:45; - ; -,ECON 252 and 255. Multivariate calculus (MATH 150 or 151) is recommended but not required,,,,,,,,,,,,,,,,,,,,
ECON 362 Global Competitive Strategies,economics;macroeconomics;,M 19:00-21:40; - ; -,ECON 251,,,,,,,,,,,,,,,,,,,,
ECON 366 International Trade&Developmnt,economics;macroeconomics;,TR 09:55-11:10; - ; -,ECON 251 and ECON 255; undergraduate enrollment limited and requires instructor's permission,,,,,,,,,,,,,,,,,,,,
ECON 379 Prog Eval for Int'l Develop,economics;macroeconomics;,TR 11:20-12:35; - ; -,"one public economics course or microeconomics course (ECON 504 or ECON 110), and one empirical methods course (POEC 253 or ECON 255, 502, or 503)",,,,,,,,,,,,,,,,,,,,
ECON 389 Tax Policy in Global Perspctv,economics;macroeconomics;,TR 08:30-09:45; - ; -,"one public economics course or microeconomics course (ECON 504 or ECON 110), and one empirical methods course (POEC 253 or ECON 255, 502, or 503); students who have previously taken ECON 351 will not be enrolled",,,,,,,,,,,,,,,,,,,,
ECON 390 Financal Crises: Causes & Cure,economics;macroeconomics;graduate school;asset management; global economics;research;global development,TBA - ; - ; -,ECON 252 and 255,,,,,,,,,,,,,,,,,,,,
MATH 130 Calculus I,mathematics;modelling;engineering;economist;research,TR 09:55-11:10; - ; -,MATH 102 (or demonstrated proficiency on a diagnostic test); this is an introductory course for students who have not seen calculus before,,,,,,,,,,,,,,,,,,,,
MATH 140 Calculus II,mathematics;integration;animation;economist;engineering;research,MWF 09:00-09:50; - ; -,"MATH 130 or equivalent; students who have received the equivalent of advanced placement of AB 4, BC 3 or higher may not enroll in MATH 140 without the permission of instructor",,,,,,,,,,,,,,,,,,,,
MATH 150 Multivariable Calculus,mathematics;volumes;engineering;statistician;animation;research,MWF 09:00-09:50; - ; -,"MATH 140 or equivalent, such as satisfactory performance on an Advanced Placement Examination",,,,,,,,,,,,,,,,,,,,
MATH 200 Discrete Math,,MWF 10:00-10:50; - ; -,MATH 140 or MATH 130 with CSCI 134 or 135; or one year of high school calculus with permission of instructor; students who have taken a 300-level math course should obtain permission of the instructor before enrolling,,,,,,,,,,,,,,,,,,,,
MATH 210 Math Methods for Scientists,mathematics;physics;research;,TR 09:55-11:10; - ; -,MATH 150 or 151 and familiarity with Newtonian mechanics at the level of PHYS 131,,,,,,,,,,,,,,,,,,,,
MATH 250 Linear Algebra,mathematics;modelling;datascience;graphics;engineering,MWF 10:00-10:50; - ; -,MATH 150/151 or MATH 200,,,,,,,,,,,,,,,,,,,,
MATH 309 Differential Equations,mathematics,TR 11:20-12:35; - ; -,MATH 150/151 and MATH 250,,,,,,,,,,,,,,,,,,,,
MATH 310 Mathematical Biology,mathematics,TBA - ; - ; -,"MATH 250, MATH 209 or 309, permission of instructor",,,,,,,,,,,,,,,,,,,,
MATH 321 Knot Theory,,MWF 08:30-09:45; - ; -,MATH 250 or permission of instructor,,,,,,,,,,,,,,,,,,,,
MATH 334 Graph Theory,,TR 09:55-11:10; - ; -,MATH 200 or MATH 250,,,,,,,,,,,,,,,,,,,,
MATH 341 Probability,,MWF 09:00-09:50; - ; -,MATH 250 or permission of the instructor,,,,,,,,,,,,,,,,,,,,
MATH 350 Real Analysis,,MWF 10:00-10:50; - ; -,"MATH 150 or MATH 151 and MATH 250, or permission of instructor",,,,,,,,,,,,,,,,,,,,
MATH 355 Abstract Algebra,,TR 09:55-11:10; - ; -,MATH 250 or permission of instructor,,,,,,,,,,,,,,,,,,,,
AFR 113 Musics of Africa,music;africa;social issues;political issues;performance analysis,MW 11:00-12:15; - ; -,,,,,,,,,,,,,,,,,,,,,
ENGL 201 Shakespeare,theatre;shakespeare;renaissance;playwright;literary imitation;publication,TF 13:10-14:25; - ; -,,,,,,,,,,,,,,,,,,,,,
PHIL 203 Logic and Language,logic;arguments;critical thinking;philosophy;contemporary metaphysics,MWF 10:00-10:50; - ; -,,,,,,,,,,,,,,,,,,,,,
PHYS 132 Electromagn&Physics of Matter,electromagnetism;physics;special relativity;quantum theory;nuclear physics,MWF 11:00-11:50; - ; -,PHYS 131,,,,,,,,,,,,,,,,,,,,
PSYC 101 Introductory Psychology,psychology;social psychology;cognitive psychology;behavioral psychology;neuroscience,MWF 10:00-10:50; - ; -,,,,,,,,,,,,,,,,,,,,,
"SCST 101 Science,Technolgy&Human Values",philosophy;history;science;technology;ethics;sociology;anthropology,MWF 08:30-09:45; - ; -,,,,,,,,,,,,,,,,,,,,,
SOC 241 Meritocracy,meritocracy;power;sociology;equity;public policy;political science;comparative politics,TF 13:10-14:25; - ; -,,,,,,,,,,,,,,,,,,,,,
STAT 161 Intro Stat Social Science,statistics;data analysis;regression;logic;mathematics,TF 13:10-14:25; - ; -,MATH 130,,,,,,,,,,,,,,,,,,,,
WGSS 261 Lost Voices of Medieval Women,music;music history;women gender sexuality studies;power;middle ages;music of the world,TR 09:55-11:10; - ; -,,,,,,,,,,,,,,,,,,,,,
LEAD 215 Race & Inequality in US City,leadership studies;race;power;inequality;us politics;political science,TF 14:35-15:50; - ; -,,,,,,,,,,,,,,,,,,,,,
